	word	freq
0	a	0.07668355848405863
1	w	0.06454614818049105
2	je	0.05961532524466673
3	so	0.03916872852688357
4	wot	0.037854430463488534
5	na	0.03319264169500346
6	z	0.02715921971270679
7	hač	0.023176631956848683
8	do	0.022867904223836426
9	su	0.022259269550183692
10	ze	0.019643904611951292
11	ma	0.015939171815804214
12	rostlina	0.014796879203658865
13	jako	0.01290922963609821
14	po	0.011608162761260844
15	za	0.010417355791070712
16	tež	0.009729333986071969
17	při	0.008997208219214332
18	při	0.008997208219214332
19	abo	0.00873258444806097
20	sydlišćo	0.007978406700273886
21	we	0.007435927969409492
22	bě	0.006902270030916877
23	k	0.0068096517110132005
24	bu	0.0052748338383236965
25	dołhosć	0.005102828387074011
26	přez	0.005054314029029228
27	zo	0.004939643728196104
28	mjez	0.004798511050247644
29	jenož	0.004339829846915148
30	kaž	0.004335419450729259
31	wón	0.004022281321531113
32	rosće	0.003912021416883879
33	jeho	0.0038061719084225335
34	město	0.0037708887389354185
35	ród	0.0035856520991280646
36	stejnišćo	0.0035591897220127286
37	kotryž	0.0033386699127182593
38	ale	0.0033342595165323703
39	wysokosć	0.003285745158487587
40	mjeno	0.0032769243661158083
41	hišće	0.003250461989000472
42	wopis	0.003215178819513357
43	wjes	0.0031975372347697994
44	wjes	0.0031975372347697994
45	tak	0.0031754852538403524
46	wone	0.003171074857654463
47	pak	0.003065225349193118
48	maja	0.0026065441458606228
49	wona	0.0025315674107005033
50	hižo	0.002505105033585167
51	wo	0.0024874634488416094
52	pod	0.002456590675540384
53	nad	0.002434538694610937
54	nimo	0.0024036659213097114
55	prěni	0.0023375099785213705
56	to	0.0023154579975919235
57	rozšěrjenje	0.0022801748281048085
58	běše	0.002249302054803583
59	jich	0.002227250073874136
60	wokoło	0.0019758574912784417
61	wokoło	0.0019758574912784417
62	jeje	0.0019538055103489947
63	jara	0.0018920599637465433
64	sydło	0.0018832391713747645
65	štom	0.0018832391713747645
66	rěč	0.0018788287751888753
67	čas	0.001865597586631207
68	raz	0.001852366398073539
69	dźěl	0.0018038520400287558
70	často	0.0017994416438428663
71	tuž	0.001759748078169862
72	šěrokosć	0.0017332857010545256
73	wjele	0.0017288753048686364
74	stawizny	0.0017200545124968576
75	dla	0.0017156441163109681
76	wjace	0.0017024129277533001
77	wjace	0.0017024129277533001
78	tam	0.0017024129277533001
79	běchu	0.0016583089658944064
80	nimale	0.001618615400221402
81	lět	0.0015789218345483975
82	wsy	0.00156128024980484
83	pola	0.0015304074765036142
84	mjeztym	0.0014995347032023887
85	serbski	0.0014951243070164993
86	dźensa	0.0014818931184588313
87	gmejna	0.0014157371756704906
88	wužiwanje	0.0013451708366962604
89	juhu	0.0013451708366962604
90	stej	0.0013319396481385924
91	tři	0.0013098876672091454
92	pozdźišo	0.0012966564786514772
93	kerk	0.0012305005358631367
94	hakle	0.001221679743491358
95	dnja	0.001199627762561911
96	stołpik	0.0011863965740042427
97	dźeń	0.0011863965740042427
98	nich	0.0011687549892606852
99	swójba	0.001164344593074796
100	sewjeru	0.0011555238007030172
101	dokelž	0.0011467030083312385
102	před	0.001129061423587681
103	wosebje	0.001107009442658234
104	kiž	0.0010937782541005658
105	předewšěm	0.0010761366693570083
106	potom	0.0010408534998698933
107	znutřka	0.001027622311312225
108	znutřka	0.001027622311312225
109	ke	0.001014391122754557
110	družina	0.0009835183494533314
111	dnjow	0.0009526455761521057
112	štyri	0.0009526455761521057
113	pjeć	0.0009394143875944376
114	podźěl	0.0009394143875944376
115	króna	0.0009350039914085483
116	jedyn	0.0009305935952226589
117	njeje	0.0009085416142932119
118	přikład	0.000886489633363765
119	cyrkej	0.0008820792371778757
120	buchu	0.0008644376524343182
121	najprjedy	0.0008556168600625394
122	radšo	0.0008379752753189819
123	dwě	0.0008379752753189819
124	rěka	0.0008247440867613138
125	wulki	0.000815923294389535
126	blisko	0.0008115128982036456
127	husto	0.0007982817096459775
128	zaso	0.0007850505210883094
129	ludźi	0.0007762297287165306
130	ludźi	0.0007762297287165306
131	nadeńdźe	0.0007674089363447519
132	městno	0.0007585881439729731
133	bjez	0.0007541777477870837
134	tu	0.0007541777477870837
135	njese	0.0007497673516011944
136	wulkosć	0.000745356955415305
137	domowina	0.0007409465592294156
138	jedna	0.0007409465592294156
139	tutón	0.0007409465592294156
140	nimi	0.0007277153706717474
141	tohodla	0.000723304974485858
142	přećiwo	0.0007056633897423005
143	prjedy	0.0007056633897423005
144	dale	0.0007012529935564112
145	dale	0.0007012529935564112
146	sta	0.0006968425973705218
147	wobydlerstwo	0.0006924322011846324
148	stolica	0.000688021804998743
149	třoch	0.000688021804998743
150	dwaj	0.000688021804998743
151	hromadźe	0.0006792010126269643
152	kraj	0.0006747906164410749
153	syn	0.0006615594278834068
154	zdobom	0.0006439178431398492
155	nakładnistwo	0.0006439178431398492
156	tróšku	0.0006306866545821811
157	dźěći	0.0006262762583962917
158	znowa	0.0006218658622104023
159	de	0.0006218658622104023
160	mjezy	0.000617455466024513
161	rězna	0.000617455466024513
162	přeco	0.0006086346736527342
163	nic	0.000582172296537398
164	samo	0.0005777619003515086
165	šěsć	0.0005689411079797299
166	předsyda	0.000560120315607951
167	systematika	0.0005557099194220616
168	wjedźe	0.0005424787308643935
169	płód	0.0005380683346785041
170	žiwjenje	0.0005380683346785041
171	čłon	0.0005336579384926148
172	stat	0.0005336579384926148
173	nětko	0.0005292475423067254
174	dweju	0.0005160163537490573
175	jemu	0.0005160163537490573
176	jeli	0.0005116059575631679
177	sydom	0.0005116059575631679
