	word	freq
0	je	0.08472064000947317
1	i	0.08350106463578164
2	u	0.07813731773183238
3	se	0.04131110280259065
4	na	0.03899180581306487
5	su	0.027865142114075012
6	za	0.02641600122361847
7	od	0.021144765796574524
8	s	0.014709530409002148
9	a	0.012561482442281061
10	koji	0.011703866787858985
11	iz	0.010071142011010373
12	kao	0.009479000031796537
13	do	0.00824667863239804
14	o	0.008166707600139905
15	će	0.007881703724251657
16	što	0.007458480849164902
17	ili	0.006222870152809772
18	ne	0.00564272040208366
19	sa	0.005570629977117458
20	nakon	0.00550086947082887
21	kako	0.005314750084699397
22	bi	0.004942991001579959
23	nije	0.004752759994254695
24	po	0.004634687938915563
25	ali	0.003985325898060302
26	prema	0.003610414572024091
27	uz	0.0035502478485256823
28	može	0.0034882308954891678
29	zbog	0.003362278232858103
30	još	0.0031482683496171808
31	biti	0.00305699035907062
32	ga	0.003013612755455025
33	godina	0.0028653202843268288
34	oko	0.002794668926779153
35	tako	0.002757664336017034
36	kod	0.0025135710910269074
37	bilo	0.002470330541451172
38	već	0.002434216801948141
39	također	0.0023731592271906445
40	jer	0.0023290278263558206
41	dok	0.0023236827188012925
42	prvi	0.0022207551348666574
43	jedan	0.0022206866078467277
44	vrijeme	0.0022069812038607575
45	pa	0.0021466088993025594
46	kada	0.0021395506162497848
47	danas	0.002124817306964867
48	mu	0.0021189239832509
49	no	0.002113852983776091
50	pod	0.0021132362405967223
51	dva	0.00207773924427306
52	gdje	0.0020354580729763424
53	dio	0.00200893811626349
54	mogu	0.0019341751375200236
55	toga	0.0019140281936606475
56	tri	0.0018842874670110927
57	između	0.0018317957697448273
58	ih	0.001785745612351968
59	bez	0.0016651380572754314
60	ako	0.001644785532356266
61	broj	0.001639783059901387
62	dvije	0.00158804515985435
63	kroz	0.001556865365786268
64	nisu	0.0015408300431226831
65	on	0.0015269190580769235
66	mjesto	0.0014416714452841898
67	nego	0.001414603272411899
68	kad	0.0014039130573028423
69	način	0.0013962380310706991
70	iako	0.0013693069122382678
71	ovaj	0.0013446371850635219
72	sam	0.0012499328435204688
73	taj	0.0012482881950421523
74	ljudi	0.0012307452779401107
75	drugi	0.0012043623752671182
76	osim	0.0011815428776304781
77	grad	0.0011515280429012038
78	pri	0.0011489240161438694
79	protiv	0.0011165107357170502
80	tada	0.0011115082632621712
81	svoj	0.0011086986554450474
82	im	0.0010995845617943773
83	ime	0.0010988992915950788
84	preko	0.0010968434809971832
85	mora	0.0010494227832057268
86	dan	0.0010450370539302164
87	svi	0.0010446258918106375
88	put	0.0010405142706148463
89	put	0.0010405142706148463
90	tom	0.0010318113390837553
91	film	0.0010279052989477539
92	četiri	0.0009824718847342632
93	međutim	0.0009819921955947543
94	čak	0.0009750024395619095
95	uvijek	0.0009690405888280125
96	njih	0.000943205902314459
97	rata	0.0009388887000588784
98	tu	0.0009388201730389486
99	njegov	0.0009344344437634382
100	hrvatski	0.0009191529183190815
101	li	0.0009151783511631502
102	oni	0.0008855061515335251
103	rad	0.0008823539086167519
104	osoba	0.0008757067876835565
105	ni	0.0008734453960258714
106	ipak	0.0008572730193224268
107	smo	0.0008428823451371582
108	sada	0.0008385651428815777
109	sustav	0.0008350702648651552
110	neki	0.0008068371326540569
111	tek	0.0007901165397911735
112	život	0.000789431269591875
113	predsjednik	0.0007849084862765049
114	zajedno	0.0007655838666562871
115	pet	0.000754208381347932
116	poput	0.0007520155167101768
117	kuna	0.0007409826665014708
118	nešto	0.0007369395723256097
119	poslije	0.0007215895198613233
120	dobro	0.0007174778986655322
121	joj	0.0007169982095260233
122	tim	0.0006926025904309966
123	njemu	0.0006915746851320488
124	album	0.0006880798071156265
125	riječ	0.0006806103619432728
126	dijelu	0.0006767043218072713
127	glavni	0.0006738947139901475
128	uglavnom	0.0006629989178213013
129	program	0.0006629989178213013
130	unutar	0.0006616969044426341
131	njega	0.0006548442024496491
132	pomoć	0.0006502528921143491
133	ju	0.0006502528921143491
134	svaki	0.0006394941499853627
135	vrsta	0.0006097534233358076
136	pred	0.0006083143559172808
137	klub	0.0006060529642595957
138	km	0.000594471897891451
139	zatim	0.0005803553317859019
140	razvoj	0.0005776827780086377
141	čega	0.0005769289807894093
142	područje	0.0005703503868761437
143	knjiga	0.0005550688614317872
144	većina	0.0005545206452723483
145	znači	0.0005537668480531199
146	projekt	0.0005509572402359961
147	m	0.0005393076468479215
148	tih	0.0005360868769112186
149	njima	0.0005360183498912888
150	nam	0.0005321808367752171
151	mnogi	0.0005261504590213903
152	nad	0.000522587053985038
153	ovdje	0.0005208738784867918
154	žena	0.0005197089191479844
155	društvo	0.0005186810138490366
156	svom	0.0005156658249721232
157	možete	0.0005139526494738769
158	crkva	0.000513472960334368
159	dijela	0.0005103892444375248
160	član	0.0005081278527798397
161	neće	0.0005051126639029263
162	niz	0.0005023715831057323
163	cilj	0.0004941483407141503
164	naime	0.000491955476076395
165	nas	0.00048804943594039354
166	naziv	0.00048722711170123535
167	udruga	0.00048352665262502343
168	povijest	0.00048133378798726823
169	potom	0.00047914092334951303
170	mogao	0.00047585162639288023
171	država	0.00047454961301421307
172	šest	0.0004735217077152653
173	imati	0.00047057504585828173
174	veći	0.0004681080731408071
175	tijelo	0.00046269443856634897
176	zato	0.0004624888575065594
177	škola	0.0004570066959121714
178	prostor	0.0004561158446530833
179	kraj	0.0004485778724607998
180	bit	0.00044659058888283417
181	kuća	0.0004456997376237461
182	iza	0.0004199335781301224
183	vrata	0.00041712397031299855
184	centar	0.00041527374077489256
185	zapravo	0.0004152052137549627
