	word	freq
0	і	0.05659708059833673
1	ў	0.04216316225691014
2	на	0.03956404865244251
3	у	0.03945820720687614
4	што	0.03228285572064661
5	з	0.025556229444816822
6	не	0.024219164985402383
7	да	0.01450528918707392
8	а	0.013154406117119254
9	за	0.012739392242323155
10	як	0.0123823861612234
11	як	0.0123823861612234
12	як	0.0123823861612234
13	але	0.009673482936749335
14	я	0.00899561175596273
15	пра	0.008793343742340922
16	калі	0.008740498945989278
17	па	0.008372407605884724
18	ён	0.00827643659641852
19	ад	0.007070421157841636
20	для	0.007059335898836837
21	мы	0.006734522624709923
22	ці	0.0062027338982057366
23	яго	0.005992113977114559
24	каб	0.005606407704892791
25	яны	0.005369669091351949
26	толькі	0.005263979498648662
27	іх	0.00516481957905779
28	было	0.004761498374718807
29	так	0.004588993522260567
30	таксама	0.0042714691855614655
31	які	0.004207539130205023
32	таму	0.0041543906281272195
33	паводле	0.004139964606134673
34	яшчэ	0.004081349400986011
35	тым	0.003970800516664181
36	больш	0.003957437464713191
37	тое	0.003786147435159587
38	вельмі	0.003575983072657647
39	трэба	0.003501271464022564
40	трэба	0.003501271464022564
41	можа	0.0033779669392020617
42	то	0.003373563206172758
43	бо	0.0032762255209388396
44	ж	0.0032337067192765973
45	нас	0.00320333614666071
46	вы	0.003156261759106085
47	яе	0.0031342430939595664
48	тут	0.003040094318850316
49	тут	0.003040094318850316
50	аб	0.002960219712870532
51	няма	0.002959460448555135
52	яна	0.0029574863613351025
53	цяпер	0.002927723200171533
54	таго	0.002844507831204002
55	ўсё	0.0028290188391698994
56	ўсё	0.0028290188391698994
57	там	0.0027957630621555027
58	хто	0.0027883222718646104
59	ўжо	0.002776325895681335
60	б	0.002721658864972738
61	нават	0.0026978179654692665
62	вось	0.0025837764652966097
63	вось	0.0025837764652966097
64	людзі	0.002445742212757402
65	людзі	0.002445742212757402
66	можна	0.0024316198964910146
67	чалавек	0.0024275198691878696
68	дзе	0.002405045645452113
69	дзе	0.002405045645452113
70	людзей	0.0023795343644547676
71	пад	0.0022907004395532975
72	мяне	0.0022882707937440265
73	час	0.002280526297726975
74	гэты	0.002274907741793036
75	пры	0.002272781801709924
76	мне	0.0022284407656907286
77	быць	0.002199285015979477
78	чым	0.002127306758879824
79	ва	0.002058821117630998
80	дзень	0.0019871465662575044
81	са	0.0019739353671695934
82	годзе	0.001903931197289973
83	шмат	0.0018970978184513984
84	той	0.0018715865374540532
85	ім	0.001837723348987339
86	адзін	0.001826941795708699
87	мае	0.0017780451737971204
88	й	0.0017778933209340409
89	ні	0.0017531413042520929
90	ды	0.001746307925413518
91	сябе	0.0016182959618375532
92	супраць	0.001604325498434245
93	тады	0.0015777512473953439
94	праз	0.001556947405153461
95	ўсе	0.0015265768325375738
96	пакуль	0.0015227805109605877
97	яму	0.001430302117345211
98	месца	0.001392338901575352
99	жа	0.0013806462311182354
100	год	0.0013795832610766794
101	каля	0.0013760906452258523
102	аднак	0.0013701683835657542
103	чаму	0.0013665239148518478
104	зараз	0.0013601460946025114
105	гады	0.001349516394186951
106	сваю	0.0013369126065513577
107	дык	0.0013315977563435775
108	беларус	0.0013209680559280168
109	імя	0.0013106420612386152
110	падчас	0.0012836122516104755
111	нічога	0.0012825492815689195
112	нам	0.001276475167045742
113	бы	0.0012761714613195832
114	асуджаны	0.001271919581153359
115	разам	0.0012649343494517049
116	спадар	0.0012643269379993872
117	свае	0.0012403341856328362
118	або	0.0012401823327697567
119	тых	0.00123122301384807
120	без	0.0012199859019801917
121	тыя	0.0012192266376647946
122	раней	0.0012164932861293647
123	могуць	0.0012114821416477433
124	справа	0.0011928042394889725
125	два	0.0011768596888656318
126	некалькі	0.0011732152201517252
127	сваёй	0.0011376816501911372
128	суд	0.001122648216746273
129	такі	0.0011185481894431283
130	такі	0.0011185481894431283
131	такі	0.0011185481894431283
132	менавіта	0.0010945554370765773
133	паміж	0.00107496641773933
134	сваіх	0.001069044156079232
135	беларускі	0.0010644885701868488
136	потым	0.0010640330115976105
137	ўсіх	0.0010301698231308962
138	перад	0.0009934214302656727
139	перад	0.0009934214302656727
140	свой	0.000967454590679089
